Year,FUEL COMB. ELEC. UTIL.,FUEL COMB. INDUSTRIAL,FUEL COMB. OTHER,CHEMICAL & ALLIED PRODUCT MFG,METALS PROCESSING,PETROLEUM & RELATED INDUSTRIES,OTHER INDUSTRIAL PROCESSES,WASTE DISPOSAL & RECYCLING,Stationary fuel combustion,Industrial and other processes,Transportation,Miscellaneous
1970,237,770,3625,3397,3644,2179,620,7059,4632,16899,174602,7909
1975,276,763,3441,2204,2496,2211,630,3230,4480,10771,167884,5263
1980,322,750,6230,2151,2246,1723,830,2300,7302,9250,160512,8344
1985,291,670,7525,1845,2223,462,694,1941,8486,7216,153216,7978
1990,363,879,4269,1183,2640,333,537,1079,5511,5853,131702,11203
1991,349,920,4587,1127,2571,345,548,1116,5856,5740,126914,8651
1992,350,955,4849,1112,2496,371,544,1138,6154,5683,122124,6956
1993,363,1043,4181,1093,2536,371,594,1248,5587,5898,117335,7138
1994,370,1041,4108,1171,2475,338,600,1225,5519,5838,112545,9685
1995,372,1056,4506,1223,2380,348,624,1185,5934,5791,107755,7329
1996,408,1188,2741,1053,1599,354,561,2904,4336,6541,102964,15087
1997,423,1162,2742,1071,1710,367,582,2948,4327,6750,99517,7389
1998,451,1151,2727,1081,1702,366,590,3121,4329,6934,96933,7258
1999,496,1213,3829,350,1255,159,571,3019,5538,5569,92024,11625
2000,484,1219,3081,361,1295,161,592,1849,4784,4479,92239,13184
2001,485,1253,3088,372,1380,162,615,1851,4825,4609,88153,8904
2002,657,1267,3550,284,987,357,490,1594,5474,3830,74235,18583
2003,653,1231,3478,259,934,355,505,1581,5361,3750,71066,19531
2004,648,1192,3405,233,882,353,520,1568,5244,3669,67898,20449
2005,643,1152,3331,208,829,351,534,1554,5125,3586,64729,15215
2006,673,1067,3137,200,833,322,498,1495,4877,3430,60419,17193
2007,703,983,2943,191,836,293,463,1437,4629,3274,56108,19169
2008,728,898,2749,183,840,265,426,1378,4376,3117,51041,21146
2009,747,919,2783,178,815,401,397,1289,4450,3106,43358,21865
2010,766,940,2818,173,791,536,367,1200,4524,3094,43596,22586
2011,784,961,2852,167,766,672,337,1111,4598,3083,42304,23806
2012,784,961,2852,167,766,672,337,1111,4598,3083,40303,23806
2013,784,961,2852,167,766,672,337,1111,4598,3083,38301,23806
2014,784,961,2852,167,766,672,337,1111,4598,3083,36299,23806
